date,SMP_in,SMP_out,SMP_inout
2017.4.1,74.88,121.12,75.35
2017.3.1,91.67,129.71,92.06
2017.2.1,90.76,121.17,91.07
2017.1.1,86.1,106.06,86.31
2016.12.1,86.76,103.91,86.93
2016.11.1,74.83,98.21,75.04
2016.10.1,73.27,95.96,73.48
2016.9.1,71.3,97.3,71.55
2016.8.1,71.43,101.13,71.73
2016.7.1,66.79,93.81,67.06
2016.6.1,65.15,82.62,65.31
2016.5.1,68.72,75.53,68.78
2016.4.1,75.37,77.25,75.38
2016.3.1,87.34,84.26,87.31
2016.2.1,87.62,88.05,87.62
2016.1.1,90.7,97.79,90.77
2015.12.1,95.41,100.97,95.46
2015.11.1,94.89,99.28,94.93
2015.10.1,98.29,103.99,98.34
2015.9.1,90.73,118.4,90.98
2015.8.1,88.15,134.03,88.59
2015.7.1,81.53,133.6,81.99
2015.6.1,84.13,131.79,84.54
2015.5.1,96.31,130.94,96.62
2015.4.1,103.45,132.08,103.72
2015.3.1,118.35,117.99,118.35
2015.2.1,121.16,137.15,121.33
2015.1.1,140.54,163.75,140.76
2014.12.1,143.86,170.59,144.1
2014.11.1,133.27,191.63,133.78
2014.10.1,131.67,195.38,132.22
2014.9.1,130.92,189.65,131.44
2014.8.1,128,193.61,128.6
2014.7.1,142.26,195.39,142.72
2014.6.1,135.85,194.58,136.35
2014.5.1,144.14,198.72,144.61
2014.4.1,150.54,209.62,151.09
2014.3.1,162.99,207.52,163.4
2014.2.1,153.16,203.51,153.63
2014.1.1,142.61,201.94,143.16
2013.12.1,149.42,204.36,149.9
2013.11.1,144.52,208.15,145.05
2013.10.1,155.37,206.72,155.8
2013.9.1,136.22,210.87,136.88
2013.8.1,153.44,231.09,154.19
2013.7.1,154.75,215.14,155.29
2013.6.1,157.67,215.21,158.13
2013.5.1,150.48,217.65,151.04
2013.4.1,162.85,218.78,163.33
2013.3.1,151.61,211.3,152.13
2013.2.1,150.24,210.85,150.79
2013.1.1,151.59,214.19,152.14
2012.12.1,164.94,227.87,165.46
2012.11.1,138.1,255.22,139.04
2012.10.1,149.57,250.32,150.39
2012.9.1,133.21,230.1,134.01
2012.8.1,160.35,225.76,160.94
2012.7.1,184.64,243.87,185.14
2012.6.1,177.55,255.93,178.16
2012.5.1,170.58,264.28,171.35
2012.4.1,157.43,252.32,158.24
2012.3.1,176.86,254.55,177.53
2012.2.1,159.16,248.49,159.93
2012.1.1,147.01,248.52,147.88
