date,energy,count,amount,transaction,min_amount,max_amount,location,
20120228,sunn,18,229444,3,,,,
20120314,sunn,44,220000,6,,,,
20120418,sunn,553,219862,30,,,,
20120516,sunn,4,161000,1,,,,
20120613,sunn,166,159638,20,,,,
20120718,sunn,1856,163449,85,,,,
20120822,sunn,873,164482,77,,,,
20120912,sunn,1131,166823,99,,,,
20121017,sunn,2486,168598,107,,,,
20121114,sunn,3770,165889,98,,,,
20121212,sunn,2072,157631,103,,,,
20120229,general,1031,42421,7,,,,
20120404,general,1254,48192,9,,,,
20120504,general,4215,52251,11,,,,
20120608,general,4111,52357,13,,,,
20120706,general,11012,54922,18,,,,
20120808,general,10412,63173,20,,,,
20120905,general,14551,65909,20,,,,
20121005,general,16236,71747,22,,,,
20121107,general,17498,66433,22,,,,
20121205,general,25857,69137,22,,,,
20130123,sunn,7134,157806,197,,,,
20130215,sunn,3860,160587,183,,,,
20130320,sunn,2436,156444,152,,,,
20130417,sunn,2815,158770,108,,,,
20130515,sunn,5682,156217,183,,,,
20130619,sunn,6222,158902,261,,,,
20130717,sunn,10039,158638,554,,,,
20130821,sunn,15648,164560,555,,,,
20130925,sunn,12086,185829,503,,,,
20131023,sunn,15345,220152,594,,,,
20131120,sunn,17377,220554,764,,,,
20131218,sunn,15214,207587,665,,,,
20130116,general,24336,67349,21,,,,
20130207,general,29609,82365,23,,,,
20130313,general,26107,98374,22,,,,
20130403,general,29445,119419,22,,,,
20130508,general,25820,120937,22,,,,
20130605,general,28005,116753,23,,,,
20130703,general,43948,125641,40,,,,
20130807,general,42276,131106,31,,,,
20130904,general,38257,147824,32,,,,
20131016,general,46352,179851,33,,,,
20131106,general,32715,223026,31,,,,
20131204,general,41653,241480,36,,,,
20140122,sunn,13980,195571,1073,,,,
20140219,sunn,2050,167773,91,,,,
20140416,sunn,995,129000,66,,,,
20140521,sunn,2033,115782,68,,,,
20140618,sunn,19712,117367,1163,,,,
20140716,sunn,4772,116366,247,,,,
20140820,sunn,1400,108119,135,,,,
20140917,sunn,10147,98275,515,,,,
20141015,sunn,12835,91713,256,,,,
20141029,sunn,37675,92065,672,,,,
20141112,sunn,9679,90751,125,,,,
20141126,sunn,12905,89521,212,,,,
20141210,sunn,33003,90142,284,,,,
20141224,sunn,21309,87369,481,,,,
20140115,general,30599,228303,34,,,,
20140205,general,6484,186517,4,,,,
20140319,general,17096,120667,14,,,,
20140409,general,9062,95000,4,,,,
20140514,general,62333,86009,68,,,,
20140611,general,29148,81475,40,,,,
20140709,general,23309,80601,16,,,,
20140806,general,37725,81325,51,,,,
20140903,general,19812,86409,16,,,,
20141008,general,39303,85433,26,,,,
20141022,general,3223,84405,7,,,,
20141105,general,27550,86910,19,,,,
20141119,general,7383,87746,17,,,,
20141203,general,32678,88546,19,,,,
20141217,general,565,82752,3,,,,
20150114,sunn,12533,87409,165,,,,
20150128,sunn,78713,89209,1495,,,,
20150211,sunn,28990,90942,348,,,,
20150225,sunn,8445,88923,101,,,,
20150311,sunn,8395,87039,208,,,,
20150325,sunn,26311,89627,321,,,,
20150408,sunn,34200,92217,427,,,,
20150422,sunn,42436,93986,511,,,,
20150107,general,133337,88986,43,,,,
20150121,general,20459,90907,7,,,,
20150204,general,56046,94419,54,,,,
20150304,general,32402,89901,35,,,,
20150318,general,11703,89642,13,,,,
20150401,general,35505,94756,26,,,,
20150415,general,29012,95457,33,,,,
20150508,general,49571,95218,36,,,,
20150513,sunn,22728,88999,643,69000,95000,in,
20150529,sunn,49694,89816,787,75000,93000,in,
20150610,sunn,56622,91341,825,70000,93000,in,
20150624,sunn,53765,92984,749,80000,96000,in,
20150708,sunn,64033,93530,797,72000,97000,in,
20150722,sunn,28365,91671,565,80000,94000,in,
20150812,sunn,57367,91892,917,70000,95000,in,
20150826,sunn,127348,92985,1379,77000,95000,in,
20150909,sunn,57604,92640,1149,72000,95000,in,
20150923,sunn,4093,89705,45,83000,91000,in,
20150520,general,15118,95563,12,94000,98100,in,
20150603,general,36003,96254,29,94900,96500,in,
20150617,general,17535,97002,21,95500,98200,in,
20150701,general,12007,98105,14,95000,99500,in,
20150715,general,25133,98525,32,95100,98600,in,
20150805,general,25114,96986,29,96000,97000,in,
20150902,general,349,91032,12,90500,91600,in,
20150916,general,17911,93379,22,91000,95000,in,
20151007,general,9337,93231,14,86000,93600,in,
20151021,general,16209,94597,22,91100,95000,in,
20151104,general,6562,94833,13,92500,96000,in,
20151118,general,8065,95482,13,94100,96000,in,
20151202,general,9455,95940,21,92000,96200,in,
20151216,general,8691,97244,17,95100,98800,in,
20160113,sunn,86732,104974,1213,71000,120000,in,
20160127,sunn,132484,118210,2122,65000,165000,in,
20160212,sunn,138883,166815,2538,85000,200000,in,
20160106,general,14085,109964,17,95000,113000,in,
20160120,general,5353,110000,7,110000,110000,in,
20160203,general,25319,149962,17,140000,160000,in,
20160217,general,29585,154736,21,101000,160000,in,
20150529,sunn,989,87000,1,87000,87000,out,
20150610,sunn,184,87000,3,87000,87000,out,
20150708,sunn,108,37166,3,36000,38000,out,
20150617,general,24802,96000,5,96000,96000,out,
20151104,general,12732,45500,2,45500,45500,out,
20151118,general,14394,61000,1,61000,61000,out,
20160113,sunn,4052,69448,45,40000,71000,out,
20160127,sunn,8897,81447,58,60000,110000,out,
20160212,sunn,12466,113470,103,110000,170000,out,
20160106,general,1152,51000,5,51000,51000,out,
20160120,general,5031,66600,1,66600,66600,out,
20160203,general,1879,100000,2,100000,100000,out,
20151014,sunn,32757,90099,420,83000,92000,in,
20151028,sunn,103421,91792,811,84000,95000,in,
20151111,sunn,84389,93131,763,74000,95000,in,
20151125,sunn,70584,93343,850,80000,96000,in,
20151209,sunn,124618,94983,1419,80000,98000,in,
20151223,sunn,122937,97459,2011,70000,120000,in,
20151014,sunn,468,39111,5,38000,42000,out,
20151209,sunn,1733,58259,18,49000,63000,out,
20151223,sunn,637,52962,10,38000,62000,out,
20151014,sunn,274,43000,1,43000,43000,out,
20151014,sunn,119,35000,1,35000,35000,out,
20160304,total,3337,108733,28,80000,120000,in,
20160309,total,13694,103813,135,75000,115000,in,
20160316,total,397,86664,11,70000,93000,in,
20160323,total,7932,93221,109,85000,99000,in,
20160406,total,77135,104127,515,70100,111000,in,
20160414,total,29639,105851,406,40000,120000,in,
20160420,total,26586,109201,293,70000,120000,in,
20160427,total,25318,111253,373,75000,120100,in,
20160504,total,85157,120563,977,70000,140000,in,
20160511,total,26619,123890,249,65000,135000,in,
20160518,total,30159,128626,154,65000,141000,in,
20160525,total,22044,124004,329,91500,132000,in,
20160601,total,23316,118931,283,65000,129000,in,
20160610,total,36123,116956,321,65000,123000,in,
20160615,total,54982,119717,755,70000,127000,in,
20160622,total,26167,121263,247,80000,130000,in,
20160629,total,35507,121115,617,89200,130000,in,
20160706,total,99433,126060,1101,75000,133000,in,
20160713,total,90241,130522,555,80400,139000,in,
20160720,total,59250,132314,695,82200,140000,in,
20160727,total,82812,135605,1037,81000,142000,in,
20160803,total,72708,140828,856,100100,156000,in,
20160810,total,76468,145714,971,86000,154000,in,
20160819,total,2238,123286,54,80000,130000,in,
20160824,total,26342,130657,374,80000,139000,in,
20160831,total,24263,135488,118,89000,144000,in,
20160907,total,164326,144804,1583,81000,156000,in,
20160921,total,128866,154505,1742,87000,166100,in,
20160928,total,65020,158244,735,107000,168000,in,
20161007,total,116713,164875,1318,95000,175000,in,
20160309,total,1087,86342,7,81700,94500,out,
20160316,total,20,58700,1,58700,58700,out,
20160323,total,310,78238,2,77800,78500,out,
20160406,total,2543,84291,6,79400,88300,out,
20160414,total,1395,94347,6,81700,99200,out,
20160420,total,2697,99441,5,78700,101400,out,
20160427,total,229,89173,2,81700,90300,out,
20160504,total,3251,97397,32,47700,112300,out,
20160511,total,37,90800,1,90800,90800,out,
20160518,total,511,87603,3,79700,105800,out,
20160525,total,2843,115400,1,115400,115400,out,
20160601,total,751,104737,4,102300,110700,out,
20160615,total,910,95420,21,56200,105000,out,
20160622,total,2985,102376,2,101000,102400,out,
20160629,total,10,65300,1,65300,65300,out,
20160706,total,4693,103279,31,93700,114400,out,
20160713,total,44982,122780,24,56700,111700,out,
20160720,total,1772,92774,26,58700,111700,out,
20160727,total,3399,114429,46,83800,121700,out,
20160803,total,2752,118518,29,100700,122700,out,
20160810,total,356,105400,1,105400,105400,out,
20160819,total,317,96600,1,96600,96600,out,
20160824,total,428,106750,7,93700,115700,out,
20160831,total,736,107700,5,91700,111700,out,
20160907,total,6060,121727,39,108800,133300,out,
20160921,total,3869,124587,70,98700,141700,out,
20160928,total,2534,139102,9,108700,150600,out,
20161007,total,6040,155853,36,140000,160400,out,
20161012,total,"67,871","174,267",800,"95,100","186,200",in,
20161012,total,612,"149,315",6,"140,800","160,600",out,
20161019,total,"32,858","174,217",340,"121,100","180,500",in,
