date,final_price
20170328,120000
20170330,120100
20170404,123800
20170406,124000
20170411,124900
20170413,120800
20170418,125000
20170420,127600
20170425,130000
20170427,121000
20170502,125500
20170504,130000
20170511,130000
20170516,132300
20170518,129500
20170523,129200
20170525,132000
20170530,128000
20170601,130000
20170608,133500
20170613,125500
20170615,119000
20170620,129000
20170622,125000
20170627,124500
20170629,129000
20170704,124700
20170706,124500
20170711,125800
20170713,125000
20170718,125900
20170720,127300
20170725,125200
20170727,125600
20170801,126600
20170803,126200
20170808,125300
20170810,126000
20170817,125000
20170822,126100
20170824,127400
20170829,125600
20170831,122500
20170905,127100
20170907,126500
20170912,126000
20170914,126900
20170919,127700
20170921,128000
20170926,126900
20170928,128000
20171010,126500
20171012,127000
20171017,126000
20171019,128000
20171024,128000
20171026,128000
20171031,128000
20171102,127300
20171107,127100
20171109,127000
20171114,125000
20171116,125900
20171121,124000
20171123,116500
20171128,99000
