date,mean_smp
2017/11/29,83.44
2017/11/28,83.04
2017/11/27,82.69
2017/11/26,80.79
2017/11/25,82.11
2017/11/24,83.22
2017/11/23,83.49
2017/11/22,83.07
2017/11/21,82.38
2017/11/20,80.94
2017/11/19,76.85
2017/11/18,80.3
2017/11/17,82.01
2017/11/16,82.45
2017/11/15,82.69
2017/11/14,82.15
2017/11/13,78.18
2017/11/12,68.63
2017/11/11,79.28
2017/11/10,82.02
2017/11/9,82.15
2017/11/8,81.79
2017/11/7,82.08
2017/11/6,79.76
2017/11/5,71.99
2017/11/4,80.63
2017/11/3,82.35
2017/11/2,81.96
2017/11/1,82.01
2017/10/31,81.33
2017/10/30,79.69
2017/10/29,72.11
2017/10/28,80.27
2017/10/27,81.61
2017/10/26,79.64
2017/10/25,79.47
2017/10/24,79.97
2017/10/23,78.3
2017/10/22,69.58
2017/10/21,79.69
2017/10/20,81.45
2017/10/19,82.08
2017/10/18,80.95
2017/10/17,80.02
2017/10/16,73.46
2017/10/15,64.69
2017/10/14,75.77
2017/10/13,78.68
2017/10/12,77.82
2017/10/11,75.02
2017/10/10,73.76
2017/10/9,67.86
2017/10/8,58.04
2017/10/7,54.02
2017/10/6,53.73
2017/10/5,52.87
2017/10/4,51.91
2017/10/3,52.43
2017/10/2,59.8
2017/10/1,53.83
2017/9/30,63.93
2017/9/29,73.2
2017/9/28,75.45
2017/9/27,75.82
2017/9/26,76.61
2017/9/25,74.39
2017/9/24,64.45
2017/9/23,73.24
2017/9/22,77.46
2017/9/21,75.55
2017/9/20,76.22
2017/9/19,75.18
2017/9/18,74.47
2017/9/17,64.28
2017/9/16,72.08
2017/9/15,74.72
2017/9/14,73.91
2017/9/13,74.89
2017/9/12,74.95
2017/9/11,73.84
2017/9/10,59.69
2017/9/9,71.37
2017/9/8,75.48
2017/9/7,74.49
2017/9/6,76.19
2017/9/5,75.34
2017/9/4,73.69
2017/9/3,60.05
2017/9/2,71.67
2017/9/1,74.14
2017/8/31,74.37
2017/8/30,76.11
2017/8/29,77.95
2017/8/28,75.48
2017/8/27,69.21
2017/8/26,74.4
2017/8/25,79.49
2017/8/24,77.25
2017/8/23,77.31
2017/8/22,76.89
2017/8/21,75.15
2017/8/20,70.23
2017/8/19,74.59
2017/8/18,77.65
2017/8/17,77.68
2017/8/16,76.13
2017/8/15,74.98
2017/8/14,75.87
2017/8/13,71.36
2017/8/12,75.42
2017/8/11,79.2
2017/8/10,79.45
2017/8/9,79.84
2017/8/8,79.41
2017/8/7,76.62
2017/8/6,71
2017/8/5,74.91
2017/8/4,77.25
2017/8/3,75.65
2017/8/2,74.04
2017/8/1,73.62
2017/7/31,71.15
2017/7/30,67.36
2017/7/29,72.32
2017/7/28,78.83
2017/7/27,78.97
2017/7/26,79.45
2017/7/25,80.74
2017/7/24,77.23
2017/7/23,72.15
2017/7/22,78.32
2017/7/21,80.09
2017/7/20,79.49
2017/7/19,79.17
2017/7/18,78.95
2017/7/17,76.45
2017/7/16,72.27
2017/7/15,77.18
2017/7/14,79.15
2017/7/13,78.62
2017/7/12,78.27
2017/7/11,77.98
2017/7/10,75.29
2017/7/9,69.78
2017/7/8,73.25
2017/7/7,75.48
2017/7/6,76.99
2017/7/5,77.4
2017/7/4,76.19
2017/7/3,74.04
2017/7/2,69.27
2017/7/1,75.66
2017/6/30,84.17
2017/6/29,84.11
2017/6/28,84.19
2017/6/27,84.78
2017/6/26,77.89
2017/6/25,72.7
2017/6/24,80.97
2017/6/23,84.25
2017/6/22,84.39
2017/6/21,84.47
2017/6/20,84.84
2017/6/19,83.25
2017/6/18,79.1
2017/6/17,83.46
2017/6/16,83.5
2017/6/15,83.82
2017/6/14,82.62
2017/6/13,82.91
2017/6/12,79.64
2017/6/11,72.93
2017/6/10,81.85
2017/6/9,84.29
2017/6/8,84.11
2017/6/7,80.47
2017/6/6,82.58
2017/6/5,81.29
2017/6/4,79.38
2017/6/3,82.59
2017/6/2,84.44
2017/6/1,85.73
2017/5/31,83.96
2017/5/30,83.22
2017/5/29,78.29
2017/5/28,65.64
2017/5/27,77.46
2017/5/26,81.64
2017/5/25,81.35
2017/5/24,81.84
2017/5/23,81.64
2017/5/22,78.03
2017/5/21,67.56
2017/5/20,81.19
2017/5/19,83.24
2017/5/18,82.67
2017/5/17,82.72
2017/5/16,82.93
2017/5/15,79.13
2017/5/14,63.32
2017/5/13,81.52
2017/5/12,83.23
2017/5/11,83.23
2017/5/10,79.42
2017/5/9,81.21
2017/5/8,79.92
2017/5/7,64.63
2017/5/6,74.32
2017/5/5,74.72
2017/5/4,82.84
2017/5/3,76.36
2017/5/2,80.14
2017/5/1,71.46
2017/4/30,65.41
2017/4/29,74.35
2017/4/28,76.41
2017/4/27,76.92
2017/4/26,76.08
2017/4/25,75.68
2017/4/24,76.21
2017/4/23,66.83
2017/4/22,74.15
2017/4/21,76.23
2017/4/20,76.48
2017/4/19,76.79
2017/4/18,76.86
2017/4/17,75.8
2017/4/16,69.07
2017/4/15,74.31
2017/4/14,76.33
2017/4/13,76.28
2017/4/12,75.82
2017/4/11,75.96
2017/4/10,73.95
2017/4/9,67.82
2017/4/8,74.54
2017/4/7,75.92
2017/4/6,76.32
2017/4/5,77.05
2017/4/4,76.65
2017/4/3,77.4
2017/4/2,73
2017/4/1,75.77
2017/3/31,92.03
2017/3/30,92.49
2017/3/29,92.5
2017/3/28,92.24
2017/3/27,90.76
2017/3/26,86.92
2017/3/25,90.16
2017/3/24,91.91
2017/3/23,91.97
2017/3/22,92.55
2017/3/21,91.98
2017/3/20,91.41
2017/3/19,88.17
2017/3/18,89.88
2017/3/17,92.4
2017/3/16,92.46
2017/3/15,92.61
2017/3/14,93.35
2017/3/13,93.32
2017/3/12,89.49
2017/3/11,91.45
2017/3/10,92.87
2017/3/9,92.54
2017/3/8,92.55
2017/3/7,92.79
2017/3/6,91.71
2017/3/5,89.03
2017/3/4,90.47
2017/3/3,92.49
2017/3/2,92.64
2017/3/1,91.97
2017/2/28,90.94
2017/2/27,91.1
2017/2/26,87.31
2017/2/25,88.9
2017/2/24,91.33
2017/2/23,91.13
2017/2/22,91.11
2017/2/21,91.24
2017/2/20,91.91
2017/2/19,88.08
2017/2/18,90.12
2017/2/17,91.39
2017/2/16,90.94
2017/2/15,91.26
2017/2/14,91.27
2017/2/13,91.57
2017/2/12,87.59
2017/2/11,89.72
2017/2/10,91.85
2017/2/9,91.77
2017/2/8,91.03
2017/2/7,91.32
2017/2/6,92
2017/2/5,87.79
2017/2/4,89.73
2017/2/3,91.76
2017/2/2,91.89
2017/2/1,92.59
2017/1/31,87.79
2017/1/30,82.31
2017/1/29,63.07
2017/1/28,67.97
2017/1/27,84.06
2017/1/26,87.75
2017/1/25,88.71
2017/1/24,89.18
2017/1/23,89.78
2017/1/22,85.95
2017/1/21,87.27
2017/1/20,89.67
2017/1/19,89.62
2017/1/18,88.65
2017/1/17,88.44
2017/1/16,88.43
2017/1/15,84.68
2017/1/14,85.85
2017/1/13,88.52
2017/1/12,88.1
2017/1/11,87.89
2017/1/10,87.91
2017/1/9,87.4
2017/1/8,83.91
2017/1/7,85.48
2017/1/6,87.5
2017/1/5,87.32
2017/1/4,87.67
2017/1/3,87.82
2017/1/2,87.67
2017/1/1,76.26
