date,mean_smp
2017/11/29,126.89
2017/11/28,129.2
2017/11/27,124.58
2017/11/26,112.29
2017/11/25,107.81
2017/11/24,129.95
2017/11/23,123.92
2017/11/22,121.54
2017/11/21,117.19
2017/11/20,125
2017/11/19,120.42
2017/11/18,106.51
2017/11/17,112.61
2017/11/16,118.51
2017/11/15,114.45
2017/11/14,114.92
2017/11/13,120.14
2017/11/12,115.24
2017/11/11,102.48
2017/11/10,113.84
2017/11/9,116.3
2017/11/8,116.51
2017/11/7,118.57
2017/11/6,104.32
2017/11/5,87.35
2017/11/4,126.87
2017/11/3,114.3
2017/11/2,116.22
2017/11/1,117.55
2017/10/31,124.93
2017/10/30,122.89
2017/10/29,109.61
2017/10/28,111.98
2017/10/27,115.22
2017/10/26,124.19
2017/10/25,113.54
2017/10/24,111.9
2017/10/23,119.5
2017/10/22,113.9
2017/10/21,121.84
2017/10/20,119.91
2017/10/19,119.88
2017/10/18,118.52
2017/10/17,119.77
2017/10/16,122.9
2017/10/15,120.4
2017/10/14,119.91
2017/10/13,124.77
2017/10/12,113.76
2017/10/11,105.06
2017/10/10,108.71
2017/10/9,116.75
2017/10/8,108.02
2017/10/7,115.45
2017/10/6,115.78
2017/10/5,104.63
2017/10/4,109.98
2017/10/3,111.85
2017/10/2,121.27
2017/10/1,107.48
2017/9/30,114.31
2017/9/29,116.14
2017/9/28,117.51
2017/9/27,110.19
2017/9/26,117.28
2017/9/25,113.07
2017/9/24,101.91
2017/9/23,93.88
2017/9/22,104.97
2017/9/21,112.16
2017/9/20,104.74
2017/9/19,106.15
2017/9/18,103.89
2017/9/17,110.08
2017/9/16,113.3
2017/9/15,116.55
2017/9/14,110.16
2017/9/13,119.54
2017/9/12,117.64
2017/9/11,117.25
2017/9/10,113.77
2017/9/9,112.59
2017/9/8,112.58
2017/9/7,110.33
2017/9/6,110.86
2017/9/5,109.16
2017/9/4,120.06
2017/9/3,111.6
2017/9/2,113.07
2017/9/1,117.05
2017/8/31,115.15
2017/8/30,116.87
2017/8/29,120.46
2017/8/28,122.62
2017/8/27,118.12
2017/8/26,119.01
2017/8/25,124.42
2017/8/24,123.75
2017/8/23,121.19
2017/8/22,121.46
2017/8/21,119.85
2017/8/20,112.76
2017/8/19,121.79
2017/8/18,120.09
2017/8/17,121.69
2017/8/16,124.05
2017/8/15,121.14
2017/8/14,121.42
2017/8/13,118.02
2017/8/12,120.77
2017/8/11,121.61
2017/8/10,121.73
2017/8/9,123.98
2017/8/8,122.07
2017/8/7,120.28
2017/8/6,117.82
2017/8/5,122
2017/8/4,122.05
2017/8/3,120.06
2017/8/2,120.54
2017/8/1,121.47
2017/7/31,126.18
2017/7/30,122.64
2017/7/29,124.12
2017/7/28,125.85
2017/7/27,129.21
2017/7/26,129.59
2017/7/25,127.41
2017/7/24,124.23
2017/7/23,120.8
2017/7/22,122.3
2017/7/21,125.67
2017/7/20,123.97
2017/7/19,124.26
2017/7/18,129.24
2017/7/17,118.53
2017/7/16,119.67
2017/7/15,123.42
2017/7/14,122.25
2017/7/13,123.74
2017/7/12,127.27
2017/7/11,123.57
2017/7/10,118.37
2017/7/9,117.17
2017/7/8,117.36
2017/7/7,127.7
2017/7/6,123.02
2017/7/5,123.43
2017/7/4,125.65
2017/7/3,123.66
2017/7/2,121.94
2017/7/1,122.23
2017/6/30,125.54
2017/6/29,122.7
2017/6/28,123.18
2017/6/27,123.8
2017/6/26,121.78
2017/6/25,124.77
2017/6/24,122.5
2017/6/23,119.67
2017/6/22,121
2017/6/21,123.18
2017/6/20,121.01
2017/6/19,120.07
2017/6/18,128.15
2017/6/17,123.24
2017/6/16,128.14
2017/6/15,119.97
2017/6/14,121.54
2017/6/13,116.93
2017/6/12,119.63
2017/6/11,120.18
2017/6/10,124.07
2017/6/9,129.56
2017/6/8,127.63
2017/6/7,130.51
2017/6/6,124.73
2017/6/5,129.33
2017/6/4,127.06
2017/6/3,127.72
2017/6/2,120.46
2017/6/1,118.69
2017/5/31,125.24
2017/5/30,123.96
2017/5/29,121.02
2017/5/28,119.08
2017/5/27,121.54
2017/5/26,125.24
2017/5/25,123.06
2017/5/24,118.99
2017/5/23,125.06
2017/5/22,120.82
2017/5/21,117.58
2017/5/20,121.16
2017/5/19,120.53
2017/5/18,116.23
2017/5/17,115.74
2017/5/16,119.39
2017/5/15,118.3
2017/5/14,109.81
2017/5/13,105.94
2017/5/12,117.2
2017/5/11,121.63
2017/5/10,118.5
2017/5/9,119.87
2017/5/8,123.59
2017/5/7,99.99
2017/5/6,115.79
2017/5/5,114.41
2017/5/4,103.81
2017/5/3,117.25
2017/5/2,117.9
2017/5/1,116.83
2017/4/30,121.12
2017/4/29,126.49
2017/4/28,128.4
2017/4/27,123.91
2017/4/26,125.06
2017/4/25,121.85
2017/4/24,123.77
2017/4/23,124.03
2017/4/22,128.67
2017/4/21,108.28
2017/4/20,124.59
2017/4/19,104.4
2017/4/18,90.08
2017/4/17,122.08
2017/4/16,124.21
2017/4/15,126.39
2017/4/14,124.62
2017/4/13,120.35
2017/4/12,106.57
2017/4/11,122.99
2017/4/10,127.19
2017/4/9,128.37
2017/4/8,108.41
2017/4/7,124.81
2017/4/6,123.93
2017/4/5,123.18
2017/4/4,126.94
2017/4/3,120.25
2017/4/2,127.4
2017/4/1,125.93
2017/3/31,132.97
2017/3/30,136.43
2017/3/29,134.2
2017/3/28,120.46
2017/3/27,133.9
2017/3/26,135.55
2017/3/25,136.45
2017/3/24,134.35
2017/3/23,135.34
2017/3/22,132.63
2017/3/21,115.29
2017/3/20,130.45
2017/3/19,130.88
2017/3/18,129.53
2017/3/17,133.49
2017/3/16,127.98
2017/3/15,121.81
2017/3/14,126.33
2017/3/13,113.95
2017/3/12,128.14
2017/3/11,134.51
2017/3/10,133.88
2017/3/9,118.82
2017/3/8,133.46
2017/3/7,135.49
2017/3/6,135.34
2017/3/5,136.42
2017/3/4,132.11
2017/3/3,116.33
2017/3/2,119.2
2017/3/1,136.84
2017/2/28,128.75
2017/2/27,118.97
2017/2/26,116.5
2017/2/25,107.61
2017/2/24,116.7
2017/2/23,124
2017/2/22,126.95
2017/2/21,120.76
2017/2/20,121.8
2017/2/19,120.76
2017/2/18,119.94
2017/2/17,113.44
2017/2/16,107.06
2017/2/15,122.32
2017/2/14,127.13
2017/2/13,118.53
2017/2/12,115.89
2017/2/11,129.74
2017/2/10,128.2
2017/2/9,122.87
2017/2/8,117.52
2017/2/7,121.73
2017/2/6,116.15
2017/2/5,123.64
2017/2/4,126.91
2017/2/3,119.14
2017/2/2,132.36
2017/2/1,125.05
2017/1/31,104.6
2017/1/30,103.35
2017/1/29,89.24
2017/1/28,104.87
2017/1/27,100.24
2017/1/26,110.11
2017/1/25,110.17
2017/1/24,118.61
2017/1/23,113.9
2017/1/22,103.49
2017/1/21,105.79
2017/1/20,106.53
2017/1/19,107.58
2017/1/18,110.89
2017/1/17,102.92
2017/1/16,104.66
2017/1/15,104.33
2017/1/14,109.2
2017/1/13,109.6
2017/1/12,105.87
2017/1/11,110.5
2017/1/10,106.55
2017/1/9,114.03
2017/1/8,102.91
2017/1/7,103.42
2017/1/6,104.28
2017/1/5,101.22
2017/1/4,104.07
2017/1/3,101.69
2017/1/2,104.23
2017/1/1,103.01
