date,두바이유,브렌트유,서부텍사스중질유
20160301,35.2,39.8,38.0
20160401,39.0,43.3,41.1
20160501,44.3,47.7,46.8
20160601,46.3,49.9,48.9
20160701,42.5,46.5,44.8
20160801,43.6,47.3,44.8
20160901,43.3,47.2,45.2
20161001,49.0,51.4,49.9
20161101,43.9,47.1,45.8
20161201,52.1,54.9,52.2
20170101,53.7,55.5,52.6
20170201,54.4,56.0,53.5
20170301,51.2,52.5,49.7
20170401,52.3,53.8,51.1
20170501,50.7,51.4,48.5
20170601,46.5,47.6,45.2
20170701,47.6,49.2,46.7
20170801,50.2,51.9,48.1
20170901,53.7,48.1,49.9
20171001,55.5,57.7,51.6
