"date","count","price","min_price","max_price","energy_sun","energy_general","location_in","location_out","SMP","type"
20120228,18,229444,NA,NA,1,0,1,1,159.93,"energy_sun_location_total"
20120229,1031,42421,NA,NA,0,1,1,1,159.93,"energy_general_location_total"
20120314,44,220000,NA,NA,1,0,1,1,177.53,"energy_sun_location_total"
20120404,1254,48192,NA,NA,0,1,1,1,158.24,"energy_general_location_total"
20120418,553,219862,NA,NA,1,0,1,1,158.24,"energy_sun_location_total"
20120504,4215,52251,NA,NA,0,1,1,1,171.35,"energy_general_location_total"
20120516,4,161000,NA,NA,1,0,1,1,171.35,"energy_sun_location_total"
20120608,4111,52357,NA,NA,0,1,1,1,178.16,"energy_general_location_total"
20120613,166,159638,NA,NA,1,0,1,1,178.16,"energy_sun_location_total"
20120706,11012,54922,NA,NA,0,1,1,1,185.14,"energy_general_location_total"
20120718,1856,163449,NA,NA,1,0,1,1,185.14,"energy_sun_location_total"
20120808,10412,63173,NA,NA,0,1,1,1,160.94,"energy_general_location_total"
20120822,873,164482,NA,NA,1,0,1,1,160.94,"energy_sun_location_total"
20120905,14551,65909,NA,NA,0,1,1,1,134.01,"energy_general_location_total"
20120912,1131,166823,NA,NA,1,0,1,1,134.01,"energy_sun_location_total"
20121005,16236,71747,NA,NA,0,1,1,1,150.39,"energy_general_location_total"
20121017,2486,168598,NA,NA,1,0,1,1,150.39,"energy_sun_location_total"
20121107,17498,66433,NA,NA,0,1,1,1,139.04,"energy_general_location_total"
20121114,3770,165889,NA,NA,1,0,1,1,139.04,"energy_sun_location_total"
20121205,25857,69137,NA,NA,0,1,1,1,165.46,"energy_general_location_total"
20121212,2072,157631,NA,NA,1,0,1,1,165.46,"energy_sun_location_total"
20130116,24336,67349,NA,NA,0,1,1,1,152.14,"energy_general_location_total"
20130123,7134,157806,NA,NA,1,0,1,1,152.14,"energy_sun_location_total"
20130207,29609,82365,NA,NA,0,1,1,1,150.79,"energy_general_location_total"
20130215,3860,160587,NA,NA,1,0,1,1,150.79,"energy_sun_location_total"
20130313,26107,98374,NA,NA,0,1,1,1,152.13,"energy_general_location_total"
20130320,2436,156444,NA,NA,1,0,1,1,152.13,"energy_sun_location_total"
20130403,29445,119419,NA,NA,0,1,1,1,163.33,"energy_general_location_total"
20130417,2815,158770,NA,NA,1,0,1,1,163.33,"energy_sun_location_total"
20130508,25820,120937,NA,NA,0,1,1,1,151.04,"energy_general_location_total"
20130515,5682,156217,NA,NA,1,0,1,1,151.04,"energy_sun_location_total"
20130605,28005,116753,NA,NA,0,1,1,1,158.13,"energy_general_location_total"
20130619,6222,158902,NA,NA,1,0,1,1,158.13,"energy_sun_location_total"
20130703,43948,125641,NA,NA,0,1,1,1,155.29,"energy_general_location_total"
20130717,10039,158638,NA,NA,1,0,1,1,155.29,"energy_sun_location_total"
20130807,42276,131106,NA,NA,0,1,1,1,154.19,"energy_general_location_total"
20130821,15648,164560,NA,NA,1,0,1,1,154.19,"energy_sun_location_total"
20130904,38257,147824,NA,NA,0,1,1,1,136.88,"energy_general_location_total"
20130925,12086,185829,NA,NA,1,0,1,1,136.88,"energy_sun_location_total"
20131016,46352,179851,NA,NA,0,1,1,1,155.8,"energy_general_location_total"
20131023,15345,220152,NA,NA,1,0,1,1,155.8,"energy_sun_location_total"
20131106,32715,223026,NA,NA,0,1,1,1,145.05,"energy_general_location_total"
20131120,17377,220554,NA,NA,1,0,1,1,145.05,"energy_sun_location_total"
20131204,41653,241480,NA,NA,0,1,1,1,149.9,"energy_general_location_total"
20131218,15214,207587,NA,NA,1,0,1,1,149.9,"energy_sun_location_total"
20140115,30599,228303,NA,NA,0,1,1,1,143.16,"energy_general_location_total"
20140122,13980,195571,NA,NA,1,0,1,1,143.16,"energy_sun_location_total"
20140205,6484,186517,NA,NA,0,1,1,1,153.63,"energy_general_location_total"
20140219,2050,167773,NA,NA,1,0,1,1,153.63,"energy_sun_location_total"
20140319,17096,120667,NA,NA,0,1,1,1,163.4,"energy_general_location_total"
20140409,9062,95000,NA,NA,0,1,1,1,151.09,"energy_general_location_total"
