"date","price","energy_sun","energy_general","location_in","location_out","SMP","type","생활물가지수","식품","식품_이외","전월세","전월세포함_생활물가지수","생활물가지수_up","식품_up","식품_이외_up","전월세_up","전월세포함_생활물가지수_up","Dubai","Brent","WTI","구름많음","구름조금","눈","맑음","비","흐림","min_Temperature_sum","max_Temperature_sum","Precipitation_sum","snow_sum","date_end","before_count","agenda1"
20120228,229444,1,0,1,1,159.93,"energy_sun_location_total",97.483,96.145,98.053,90.55,95.85,0.00501625924520177,-0.00240262104113588,0.00811805860096063,0.00298177802319156,0.0045174752217005,864.55,862.7,756.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0
20120229,42421,0,1,1,1,159.93,"energy_general_location_total",97.483,96.145,98.053,90.55,95.85,0.00501625924520177,-0.00240262104113588,0.00811805860096063,0.00298177802319156,0.0045174752217005,850.41,869.12,758.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,18,0
20120314,220000,1,0,1,1,177.53,"energy_sun_location_total",97.538,96.332,98.053,90.955,95.986,0.000563882794398005,0.00194120333845449,0,0.00445275136056293,0.00141687329402215,876.26,881.55,743.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1031,0
20120404,48192,0,1,1,1,158.24,"energy_general_location_total",97.418,96.607,97.772,91.377,95.995,-0.00123180521053594,0.00284658461602167,-0.00287403346561379,0.00461822997034261,9.37548830668299e-05,862.06,864.46,716.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,44,0
20120418,219862,1,0,1,1,158.24,"energy_sun_location_total",97.418,96.607,97.772,91.377,95.995,-0.00123180521053594,0.00284658461602167,-0.00287403346561379,0.00461822997034261,9.37548830668299e-05,827.97,845.09,735.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1254,0
20120504,52251,0,1,1,1,171.35,"energy_general_location_total",97.345,95.878,97.978,91.63,95.995,-0.000749910113513868,-0.00760341267026846,0.00210251280899782,0.00276110444177671,0,802.59,804.44,700.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,553,0
20120516,161000,1,0,1,1,171.35,"energy_sun_location_total",97.345,95.878,97.978,91.63,95.995,-0.000749910113513868,-0.00760341267026846,0.00210251280899782,0.00276110444177671,0,782.25,810.92,673.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4215,0
20120608,52357,0,1,1,1,178.16,"energy_general_location_total",97.133,95.771,97.725,91.799,95.877,-0.00218257440828558,-0.00111724843637426,-0.00258889741621898,0.00184097865989838,-0.00123074355684898,710.66,732.46,619.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,0
20120613,159638,1,0,1,1,178.16,"energy_sun_location_total",97.133,95.771,97.725,91.799,95.877,-0.00218257440828558,-0.00111724843637426,-0.00258889741621898,0.00184097865989838,-0.00123074355684898,690.88,715.1,608.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4111,0
20120706,54922,0,1,1,1,185.14,"energy_general_location_total",96.893,95.14,97.641,91.909,95.715,-0.00247695911985381,-0.00663233130124028,-0.000860294343564578,0.0011968360008269,-0.00169252468265154,697.62,701.91,603.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,166,0
20120718,163449,1,0,1,1,185.14,"energy_sun_location_total",96.893,95.14,97.641,91.909,95.715,-0.00247695911985381,-0.00663233130124028,-0.000860294343564578,0.0011968360008269,-0.00169252468265154,725.65,756.36,646.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,11012,0
20120808,63173,0,1,1,1,160.94,"energy_general_location_total",97.87,96.287,98.548,92.052,96.492,0.00998263001941355,0.0119123038416402,0.00920363680642932,0.0015534697779516,0.00805248103469719,757.77,795.14,661.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1856,0
20120822,164482,1,0,1,1,160.94,"energy_sun_location_total",97.87,96.287,98.548,92.052,96.492,0.00998263001941355,0.0119123038416402,0.00920363680642932,0.0015534697779516,0.00805248103469719,794.89,818.54,692.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,10412,0
20120905,65909,0,1,1,1,134.01,"energy_general_location_total",98.865,99.098,98.764,92.187,97.296,0.0100642289991401,0.0283658600577206,0.00218703171195976,0.00146441472224924,0.00826344351258019,794.76,805.08,678.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,873,0
20120912,166823,1,0,1,1,134.01,"energy_sun_location_total",98.865,99.098,98.764,92.187,97.296,0.0100642289991401,0.0283658600577206,0.00218703171195976,0.00146441472224924,0.00826344351258019,809.27,823.69,689.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,14551,0
20121005,71747,0,1,1,1,150.39,"energy_general_location_total",98.386,97.515,98.754,92.398,96.98,-0.00486857886284633,-0.0162333999897451,-0.000101261721044119,0.00228359921210414,-0.00325840379459685,763.98,784.43,629.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1131,0
20121017,168598,1,0,1,1,150.39,"energy_sun_location_total",98.386,97.515,98.754,92.398,96.98,-0.00486857886284633,-0.0162333999897451,-0.000101261721044119,0.00228359921210414,-0.00325840379459685,780.13,788.41,641.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,16236,0
