"date","count","price","min_price","max_price","energy_sun","energy_general","location_in","location_out","SMP","type","date_ym","생활물가지수","식품","식품_이외","전월세","전월세포함_생활물가지수","생활물가지수_up","식품_up","식품_이외_up","전월세_up","전월세포함_생활물가지수_up","Dubai","Brent","WTI","구름많음","구름조금","눈","맑음","비","흐림","min_Temperature_sum","max_Temperature_sum","Precipitation_sum","snow_sum","date_end","before_count","agenda1"
20160304,3337,108733,80000,120000,1,1,1,0,87.34,"energy_total_location_in",201603,100.51,102.41,99.55,101.83,100.81,-0.00477564421450592,-0.0056635094229079,-0.00431943746860881,0.00196405774329768,-0.00327348477333596,246.64,296.85,275.39,3,3,2,5,2,1,-37.4,105.3,5.3,5.3,0,29585,1
20160309,1087,86342,81700,94500,1,1,0,1,84.26,"energy_total_location_out",201603,100.51,102.41,99.55,101.83,100.81,-0.00477564421450592,-0.0056635094229079,-0.00431943746860881,0.00196405774329768,-0.00327348477333596,265.54,311.33,290.26,0,1,0,0,2,2,14.1,50.9,40.2,0,0,3337,0
20160309,13694,103813,75000,115000,1,1,1,0,87.34,"energy_total_location_in",201603,100.51,102.41,99.55,101.83,100.81,-0.00477564421450592,-0.0056635094229079,-0.00431943746860881,0.00196405774329768,-0.00327348477333596,265.54,311.33,290.26,0,1,0,0,2,2,14.1,50.9,40.2,0,0,1087,0
20160316,20,58700,58700,58700,1,1,0,1,84.26,"energy_total_location_out",201603,100.51,102.41,99.55,101.83,100.81,-0.00477564421450592,-0.0056635094229079,-0.00431943746860881,0.00196405774329768,-0.00327348477333596,260.3,301.66,287.68,0,3,0,3,1,0,-8.2,56.4,0.1,0,0,13694,0
20160316,397,86664,70000,93000,1,1,1,0,87.34,"energy_total_location_in",201603,100.51,102.41,99.55,101.83,100.81,-0.00477564421450592,-0.0056635094229079,-0.00431943746860881,0.00196405774329768,-0.00327348477333596,260.3,301.66,287.68,0,3,0,3,1,0,-8.2,56.4,0.1,0,0,20,0
20160323,310,78238,77800,78500,1,1,0,1,84.26,"energy_total_location_out",201603,100.51,102.41,99.55,101.83,100.81,-0.00477564421450592,-0.0056635094229079,-0.00431943746860881,0.00196405774329768,-0.00327348477333596,270.86,295.15,290.19,1,3,0,3,0,0,35.1,114.1,0,0,0,397,0
20160323,7932,93221,85000,99000,1,1,1,0,87.34,"energy_total_location_in",201603,100.51,102.41,99.55,101.83,100.81,-0.00477564421450592,-0.0056635094229079,-0.00431943746860881,0.00196405774329768,-0.00327348477333596,270.86,295.15,290.19,1,3,0,3,0,0,35.1,114.1,0,0,0,310,0
20160406,2543,84291,79400,88300,1,1,0,1,77.25,"energy_total_location_out",201604,100.51,102.26,99.63,101.97,100.84,0,-0.00146684920790134,0.000802970992672873,0.00137295282926351,0.000297500991669984,252.01,289.43,274.24,0,2,0,9,3,0,73.6,244.2,5.1,0,0,7932,0
20160406,77135,104127,70100,111000,1,1,1,0,75.37,"energy_total_location_in",201604,100.51,102.26,99.63,101.97,100.84,0,-0.00146684920790134,0.000802970992672873,0.00137295282926351,0.000297500991669984,252.01,289.43,274.24,0,2,0,9,3,0,73.6,244.2,5.1,0,0,2543,0
20160414,1395,94347,81700,99200,1,1,0,1,77.25,"energy_total_location_out",201604,100.51,102.26,99.63,101.97,100.84,0,-0.00146684920790134,0.000802970992672873,0.00137295282926351,0.000297500991669984,285.55,315.65,298.8,1,2,0,2,2,1,71.7,152.9,8.5,0,0,77135,0
