"date","weather_str","min_Temperature","max_Temperature","Precipitation","snow"
"20160101","구름많음",-3.3,4,0,0
"20160102","흐림",1,9.5,0,0
"20160103","구름많음",5.1,9.4,0,0
"20160104","구름조금",-2.5,5.3,0,0
"20160105","구름조금",-4.8,1.5,0,0
"20160106","구름많음",-4.9,1.7,0,0
"20160107","맑음",-5.9,1.4,0,0
"20160108","맑음",-6.9,1,0,0
"20160109","구름조금",-6.2,2.4,0,0
"20160110","구름조금",-2.7,3.8,0,0
"20160111","맑음",-6.5,0.9,0,0
"20160112","맑음",-9.1,0.7,0,0
"20160113","눈",-8.2,0.1,0.4,0.5
"20160114","구름조금",-8.4,1.3,0,0
"20160115","구름조금",-4.3,5.3,0,0
"20160116","비",-2.1,2.8,0.1,0
"20160117","구름많음",-0.7,5.4,0,0
"20160118","눈",-12.3,0.4,0.2,0.4
"20160119","맑음",-15.1,-8.9,0,0
"20160120","맑음",-14.5,-5.2,0,0
"20160121","구름조금",-10.2,-2.3,0,0
"20160122","구름조금",-11.1,-3.8,0,0
"20160123","구름조금",-16,-8.3,0,0
"20160124","맑음",-18,-10.5,0,0
"20160125","맑음",-14.3,-3.4,0,0
"20160126","눈",-8.5,1.7,0.3,0.5
"20160127","맑음",-4.7,4.3,0,0
"20160128","구름많음",-5.6,3.5,0,0
"20160129","구름많음",-1.4,5.4,0,0
"20160130","구름조금",-2.5,5.2,0,0
"20160131","구름조금",-6.5,0.3,0,0
"20160201","맑음",-9.1,-1,0,0
"20160202","맑음",-10,0.9,0,0
"20160203","맑음",-8.3,4,0,0
"20160204","구름조금",-4,3.9,0,0
"20160205","맑음",-6.8,3.4,0,0
"20160206","맑음",-6.2,2,0,0
"20160207","맑음",-8.3,3.5,0,0
"20160208","구름많음",-4.3,5.5,0,0
"20160209","맑음",-3.9,5.5,0,0
"20160210","맑음",-4.3,10.7,0,0
"20160211","비",1.6,13.5,0.1,0
"20160212","비",6.8,10,18,0
"20160213","비",5.8,14.4,21,0
"20160214","비",-6.8,5.8,2.5,0
"20160215","맑음",-10,-2.3,0,0
"20160216","눈",-6.7,1.1,0.8,1.2
"20160217","맑음",-5.2,5.4,0,0
"20160218","구름조금",-1.4,7.8,0,0
"20160219","구름많음",0.1,4.4,0,0
"20160220","맑음",-2.5,6.3,0,0
"20160221","구름조금",-4.2,4.4,0,0
"20160222","흐림",-2.2,4.2,0,0
"20160223","눈",-4.5,4.5,0.9,0.3
"20160224","맑음",-6.8,2.2,0,0
"20160225","맑음",-5.8,5.7,0,0
"20160226","구름조금",-3.2,7.5,0,0
"20160227","비",0.5,8.1,0.2,0
"20160228","눈",-2.6,6.9,4.1,5
"20160229","맑음",-5.9,-1.1,0,0
"20160301","맑음",-7.5,2.1,0,0
"20160302","구름많음",-2.2,8.1,0,0
"20160303","구름많음",4.4,13.9,0,0
"20160304","비",6.4,20.3,0.1,0
"20160305","비",9.1,13.5,40,0
"20160306","비",4.3,12.9,0.2,0
"20160307","흐림",4.8,12.2,0,0
"20160308","흐림",-1.4,7,0,0
"20160309","구름조금",-2.7,5.3,0,0
"20160310","맑음",-4.3,3.1,0,0
"20160311","맑음",-5.5,4.6,0,0
"20160312","구름조금",-3.3,6.4,0,0
"20160313","비",1.9,6.5,0.1,0
"20160314","구름조금",1.3,9.6,0,0
"20160315","구름조금",-1,12.4,0,0
"20160316","맑음",2.7,13.8,0,0
"20160317","구름많음",2,14.7,0,0
"20160318","구름조금",8.8,20.1,0,0
"20160319","맑음",6.6,18.1,0,0
"20160320","맑음",4.9,17.5,0,0
"20160321","맑음",5.5,16.1,0,0
"20160322","구름조금",3.5,13.8,0,0
"20160323","구름조금",3.8,13.8,0,0
"20160324","맑음",1.6,12.7,0,0
"20160325","맑음",2.1,12.6,0,0
"20160326","맑음",2.1,12.6,0,0
"20160327","맑음",2.2,13.1,0,0
"20160328","맑음",2.3,17.4,0,0
"20160329","비",7.6,17.1,0.1,0
"20160330","맑음",7,18.3,0,0
"20160331","구름조금",6,21.4,0,0
"20160401","구름조금",7.3,23.8,0,0
"20160402","맑음",9.6,21.7,0,0
"20160403","비",8.2,12.7,2,0
"20160404","맑음",5.1,19.8,0,0
"20160405","맑음",5.9,18.1,0,0
"20160406","비",6.6,22.9,3,0
"20160407","비",10.5,20.6,7.5,0
"20160408","구름조금",7.8,18.7,0,0
"20160409","흐림",7.4,14.1,0,0
"20160410","구름조금",9.3,20.7,0,0
"20160411","맑음",5.7,19.4,0,0
"20160412","구름많음",10.3,19.4,0,0
"20160413","비",11.4,21.4,1,0
"20160414","맑음",9.3,18.6,0,0
"20160415","맑음",8.1,23.1,0,0
"20160416","비",9.8,20.7,23.5,0
"20160417","비",8.3,14.5,20.5,0
"20160418","비",7.1,18.6,1.5,0
"20160419","맑음",6.5,19.2,0,0
"20160420","비",10.1,20.9,0.5,0
"20160421","비",10.3,16.9,17,0
"20160422","흐림",10.1,18.6,0,0
"20160423","구름많음",7.8,19.8,0,0
"20160424","맑음",8.1,23.7,0,0
"20160425","맑음",10.2,25.3,0,0
