date,nuclear,"
Bituminous_coal",hard_coal,Oil,LNG
2017년 5월,5.72,130157,172965,546939,664754
2017년 4월,5.7011,133091.9186,173075.5556,563331.5632,689962.0901
2017년 3월,5.67843,127554.2081,175212.1453,573328.2565,687013.1107
2017년 2월,5.671,113747.972,181667.051,515623.298,651779.466
2017년 1월,5.667,107948.414,166867.721,509261.244,585906.753
2016년 12월,5.658,94926.193,160987.658,495351.39,565523.855
2016년 11월,5.642,89881.05,153998.112,475498.135,555807.348
2016년 10월,5.628,88306.447,155706.644,473728.327,551891.57
2016년 9월,5.603,90552.656,159436.829,503560.122,528592.691
2016년 8월,5.595,87469.402,153647.705,494192.021,513697.768
2016년 7월,5.5825,87798.5232,156515.5463,459701.6118,500966.5128
2016년 6월,5.541016,87702.39391,156251.5521,447410.3984,535615.9724
2016년 5월,5.474,87268.97,155658.692,453353.089,648085.951
2016년 4월,5.448,86449.767,158004.688,436393.494,670235.41
2016년 3월,5.429,86731.148,157915.079,426253.427,692828.689
2016년 2월,5.405,87439.07,159329.575,475604.731,699987.446
2016년 1월,5.38,88569.714,149349.95,501581.059,680118.759
2015년 12월,5.341,91484.581,155651.167,508400.839,736156.172
2015년 11월,5.311,92473.07,155800.741,496243.669,735578.645
2015년 10월,5.282062262,92118.28709,155735.017,593678.2722,732025.8763
2015년 9월,5.210166696,91853.39863,161223.3996,604292.2945,697256.9157
2015년 8월,5.186455531,87525.29058,168824.3141,602879.8919,671143.2689
2015년 7월,5.160239407,86218.01852,168159.0068,605913.7734,690088.4855
2015년 6월,5.140024573,89810.7491,166185.1046,578702.9978,825946.2461
2015년 5월,5.110853012,91080.79274,172542.2428,615075.9849,944098.1516
2015년 4월,5.084636949,91999.82407,162117.0463,624149.061,918683.5368
2015년 3월,5.069230572,96245.04978,160095.9139,677011.4047,976448.1732
2015년 2월,5.01,97760,165530,778378,1032286
2015년 1월,5.012267191,98049.18331,162271.2494,815310.2797,1028839.217
2014년 12월,5.0076,98434.4814,156834.124,599343.1533,1022140.413
2014년 11월,4.984523284,98691.23489,158904,837509.9912,1012892.117
2014년 10월,4.965491451,99878.63129,167068.5948,854968.6872,1041325.303
2014년 9월,4.944039576,99807.06509,169407.081,759437.9734,1063475.615
2014년 8월,4.876941063,82086.33511,167522.0467,694510.9639,1033552.375
2014년 7월,4.850883455,83244.60966,162028.4249,690036.7697,1023245.87
2014년 6월,4.78941234,85273.66991,162971.6456,759079.2161,1030981.568
2014년 5월,4.76570277,86890.67885,166611.9003,769655.5455,1096848.752
2014년 4월,4.751657016,89089.02969,157223.8121,778156.0906,1115205.098
2014년 3월,4.735432346,90693.18407,155010.4637,865160.0259,1006342.23
2014년 2월,4.713640683,90694.40648,166006.4277,858611.2511,982869.1729
2014년 1월,4.688823348,90165.70186,155264.0023,859871.9395,933362.3214
2013년 12월,4.670674415,89261.68385,160704.9644,867985.1654,933347.5305
2013년 11월,4.653034746,92134.03683,166002.2614,883501.1561,986972.8468
2013년 10월,4.621861626,97201.18375,162598.7085,890518.0341,992056.6939
2013년 9월,4.588799414,99096.19498,166500.9279,893986.6367,979426.8728
2013년 8월,4.552119579,96442.07084,167293.9507,903429.0299,993329.5864
2013년 7월,4.515653452,94683.82691,162188.5059,888161.5521,969871.3514
2013년 6월,4.491848906,95026.71353,163640.0179,924329.5306,959724.2306
2013년 5월,4.465005714,91783.83312,159742.9098,918557.0779,1053437.867
2013년 4월,4.435291967,90248.61791,164690.8551,920513.9306,1048822.14
2013년 3월,4.40428799,95610.09442,164235.2945,888435.9981,1026930.566
2013년 2월,4.356258206,92797.80869,166184.2316,894002.2858,980258.1382
2013년 1월,4.319404801,95421.7497,156076.5996,911391.4189,851084.7269
2012년 12월,4.27,98376.17,155867.91,929393.83,870879.57
2012년 11월,4.23,102800.35,147461.54,951005.47,964074.52
2012년 10월,4.2,110974.812,156189.722,999285.422,1017563.654
2012년 9월,4.174,116010.987,154727.367,951317.021,1069460.854
2012년 8월,4.153,119489.55,153871.736,975217.369,1170151.979
2012년 7월,4.131,118155.316,163272.089,1011505.389,1093104.49
2012년 6월,4.098,118817.116,169722.378,1056510.373,1045326.823
2012년 5월,4.068,123521.761,160736.422,1018979.45,983264.091
2012년 4월,3.715,130298.288,158158.067,1020074.4,977646.885
2012년 3월,3.596,131211.089,157059.778,1010900.409,940986.773
2012년 2월,3.964,122857.822,157374,971360.946,968399.392
2012년 1월,3.693,121625.063,154997.733,934808.127,914884.545
